edge_grp_id,device_unit_id,sensor_dt,upload_dt,co2_1,tvoc_1,co2_2,tvoc_2,temp_1,humid_1,temp_2,humid_2,ptcl_1,ptcl_2,smoke_1,smoke_2,rownum,t_co2_1,t_co2_2,t_humid_1,t_humid_2,t_ptcl_1,t_ptcl_2,t_smoke_1,t_smoke_2,t_temp_1,t_temp_2,t_tvoc_1,t_tvoc_2
0,3,2023-11-21 14:33:28+09,2023-11-21 17:23:41.835778+09,1,410,0.5,192,40.9,20.3,27.1,38.5,2.02,2.67,18,80,97,1,0.51,20,40,2,4,20,50,30,35,400,200
0,4,2023-11-21 14:33:28+09,2023-11-21 17:23:41.835778+09,1,410,0.5,192,0,20.3,27.1,38.5,0,2.67,18,80,97,1,0.51,20,40,2,4,20,50,30,35,400,200
0,5,2023-11-21 14:33:28+09,2023-11-21 17:23:41.835778+09,1,410,0.5,192,40.9,20.3,27.1,38.5,2.02,2.67,18,80,97,1,0.51,20,40,2,4,20,50,30,35,400,200
0,6,2023-11-21 14:33:28+09,2023-11-21 17:23:41.835778+09,1,410,0.5,192,40.9,20.3,27.1,38.5,2.02,2.67,18,80,97,1,0.51,20,40,2,4,20,50,30,35,400,200
0,7,2023-11-21 14:33:28+09,2023-11-21 17:23:41.835778+09,1,410,0.5,192,40.9,20.3,27.1,38.5,2.02,2.67,18,80,97,1,0.51,20,40,2,4,20,50,30,35,400,200
0,8,2023-11-21 14:33:28+09,2023-11-21 17:23:41.835778+09,1,410,0.5,192,40.9,20.3,27.1,38.5,2.02,2.67,18,80,97,1,0.51,20,40,2,4,20,50,30,35,400,200
0,9,2023-11-21 14:33:28+09,2023-11-21 17:23:41.835778+09,1,410,0.5,192,40.9,20.3,27.1,38.5,2.02,2.67,18,80,97,1,0.51,20,40,2,4,20,50,30,35,400,200
0,10,2023-11-21 14:33:28+09,2023-11-21 17:23:41.835778+09,1,410,0.5,192,40.9,20.3,27.1,38.5,2.02,2.67,18,80,97,1,0.51,20,40,2,4,20,50,30,35,400,200
0,11,2023-11-21 14:33:28+09,2023-11-21 17:23:41.835778+09,1,410,0.5,192,40.9,20.3,27.1,38.5,2.02,2.67,18,80,97,1,0.51,20,40,2,4,20,50,30,35,400,200
0,12,2023-11-21 14:33:28+09,2023-11-21 17:23:41.835778+09,1,410,0.5,192,40.9,20.3,27.1,38.5,2.02,2.67,18,80,97,1,0.51,20,40,2,4,20,50,30,35,400,200
0,1,2023-11-21 14:33:33+09,2023-11-21 17:23:41.921549+09,0.99,395,0.51,192,41,20.3,27.1,38.5,2.02,2.66,17,72,96,1,0.51,20,40,2,4,20,50,30,35,400,200
0,2,2023-11-21 14:33:33+09,2023-11-21 17:23:41.921549+09,0.99,395,0.51,192,41,20.3,27.1,38.5,2.02,2.66,17,72,96,1,0.51,20,40,2,4,20,50,30,35,400,200
0,3,2023-11-21 14:33:33+09,2023-11-21 17:23:41.921549+09,0.99,395,0.51,192,41,20.3,27.1,38.5,2.02,2.66,17,72,96,1,0.51,20,40,2,4,20,50,30,35,400,200
0,4,2023-11-21 14:33:33+09,2023-11-21 17:23:41.921549+09,0.99,395,0.51,192,0,20.3,27.1,38.5,0,2.66,17,72,96,1,0.51,20,40,2,4,20,50,30,35,400,200
0,5,2023-11-21 14:33:33+09,2023-11-21 17:23:41.921549+09,0.99,395,0.51,192,41,20.3,27.1,38.5,2.02,2.66,17,72,96,1,0.51,20,40,2,4,20,50,30,35,400,200
0,6,2023-11-21 14:33:33+09,2023-11-21 17:23:41.921549+09,0.99,395,0.51,192,41,20.3,27.1,38.5,2.02,2.66,17,72,96,1,0.51,20,40,2,4,20,50,30,35,400,200
0,7,2023-11-21 14:33:33+09,2023-11-21 17:23:41.921549+09,0.99,395,0.51,192,41,20.3,27.1,38.5,2.02,2.66,17,72,96,1,0.51,20,40,2,4,20,50,30,35,400,200
0,8,2023-11-21 14:33:33+09,2023-11-21 17:23:41.921549+09,0.99,395,0.51,192,41,20.3,27.1,38.5,2.02,2.66,17,72,96,1,0.51,20,40,2,4,20,50,30,35,400,200
0,9,2023-11-21 14:33:33+09,2023-11-21 17:23:41.921549+09,0.99,395,0.51,192,41,20.3,27.1,38.5,2.02,2.66,17,72,96,1,0.51,20,40,2,4,20,50,30,35,400,200
0,10,2023-11-21 14:33:33+09,2023-11-21 17:23:41.921549+09,0.99,395,0.51,192,41,20.3,27.1,38.5,2.02,2.66,17,72,96,1,0.51,20,40,2,4,20,50,30,35,400,200
0,11,2023-11-21 14:33:33+09,2023-11-21 17:23:41.921549+09,0.99,395,0.51,192,41,20.3,27.1,38.5,2.02,2.66,17,72,96,1,0.51,20,40,2,4,20,50,30,35,400,200
0,12,2023-11-21 14:33:33+09,2023-11-21 17:23:41.921549+09,0.99,395,0.51,192,41,20.3,27.1,38.5,2.02,2.66,17,72,96,1,0.51,20,40,2,4,20,50,30,35,400,200
0,1,2023-11-21 14:33:38+09,2023-11-21 17:23:41.997882+09,1,383,0.51,191,40.9,20.3,27.1,38.5,1.98,2.66,27,72,95,1,0.51,20,40,2,4,20,50,30,35,400,200
0,2,2023-11-21 14:33:38+09,2023-11-21 17:23:41.997882+09,1,383,0.51,191,40.9,20.3,27.1,38.5,1.98,2.66,27,72,95,1,0.51,20,40,2,4,20,50,30,35,400,200
0,3,2023-11-21 14:33:38+09,2023-11-21 17:23:41.997882+09,1,383,0.51,191,40.9,20.3,27.1,38.5,1.98,2.66,27,72,95,1,0.51,20,40,2,4,20,50,30,35,400,200
0,4,2023-11-21 14:33:38+09,2023-11-21 17:23:41.997882+09,1,383,0.51,191,0,20.3,27.1,38.5,0,2.66,27,72,95,1,0.51,20,40,2,4,20,50,30,35,400,200
0,5,2023-11-21 14:33:38+09,2023-11-21 17:23:41.997882+09,1,383,0.51,191,40.9,20.3,27.1,38.5,1.98,2.66,27,72,95,1,0.51,20,40,2,4,20,50,30,35,400,200
0,6,2023-11-21 14:33:38+09,2023-11-21 17:23:41.997882+09,1,383,0.51,191,40.9,20.3,27.1,38.5,1.98,2.66,27,72,95,1,0.51,20,40,2,4,20,50,30,35,400,200
0,7,2023-11-21 14:33:38+09,2023-11-21 17:23:41.997882+09,1,383,0.51,191,40.9,20.3,27.1,38.5,1.98,2.66,27,72,95,1,0.51,20,40,2,4,20,50,30,35,400,200
0,8,2023-11-21 14:33:38+09,2023-11-21 17:23:41.997882+09,1,383,0.51,191,40.9,20.3,27.1,38.5,1.98,2.66,27,72,95,1,0.51,20,40,2,4,20,50,30,35,400,200
0,9,2023-11-21 14:33:38+09,2023-11-21 17:23:41.997882+09,1,383,0.51,191,40.9,20.3,27.1,38.5,1.98,2.66,27,72,95,1,0.51,20,40,2,4,20,50,30,35,400,200
0,10,2023-11-21 14:33:38+09,2023-11-21 17:23:41.997882+09,1,383,0.51,191,40.9,20.3,27.1,38.5,1.98,2.66,27,72,95,1,0.51,20,40,2,4,20,50,30,35,400,200
0,11,2023-11-21 14:33:38+09,2023-11-21 17:23:41.997882+09,1,383,0.51,191,40.9,20.3,27.1,38.5,1.98,2.66,27,72,95,1,0.51,20,40,2,4,20,50,30,35,400,200
0,12,2023-11-21 14:33:38+09,2023-11-21 17:23:41.997882+09,1,383,0.51,191,40.9,20.3,27.1,38.5,1.98,2.66,27,72,95,1,0.51,20,40,2,4,20,50,30,35,400,200
0,1,2023-11-21 14:33:44+09,2023-11-21 17:23:42.063447+09,1,396,0.51,189,40.9,20.2,27.1,38.5,2.05,2.63,17,64,94,1,0.51,20,40,2,4,20,50,30,35,400,200
0,2,2023-11-21 14:33:44+09,2023-11-21 17:23:42.063447+09,1,396,0.51,189,40.9,20.2,27.1,38.5,2.05,2.63,17,64,94,1,0.51,20,40,2,4,20,50,30,35,400,200
