Datetime,division,val
2021-07-10 오전 12:09:31,U7_B,26.6
2021-07-10 오전 12:09:31,U8_A,30.1
2021-07-10 오전 12:09:31,U8_B,28.2
2021-07-10 오전 12:09:31,U9_A,30.0
2021-07-10 오전 12:09:31,U9_B,28.1
2021-07-10 오전 12:09:31,U10_A,29.9
2021-07-10 오전 12:09:31,U10_B,27.8
2021-07-10 오전 12:09:31,U11_A,29.0
2021-07-10 오전 12:09:31,U11_B,27.9
2021-07-10 오전 12:11:26,U0_A,29.3
2021-07-10 오전 12:11:26,U0_B,28.9
2021-07-10 오전 12:11:26,U1_A,22.8
2021-07-10 오전 12:11:26,U1_B,22.8
2021-07-10 오전 12:11:26,U2_A,22.8
2021-07-10 오전 12:11:26,U2_B,22.8
2021-07-10 오전 12:11:26,U3_A,26.6
2021-07-10 오전 12:11:26,U3_B,25.8
2021-07-10 오전 12:11:26,U4_A,26.0
2021-07-10 오전 12:11:26,U4_B,25.5
2021-07-10 오전 12:11:26,U5_A,28.1
2021-07-10 오전 12:11:26,U5_B,27.5
2021-07-10 오전 12:11:26,U6_A,31.2
2021-07-10 오전 12:11:26,U6_B,28.3
2021-07-10 오전 12:11:26,U7_A,27.7
2021-07-10 오전 12:11:26,U7_B,26.6
2021-07-10 오전 12:11:26,U8_A,30.1
2021-07-10 오전 12:11:26,U8_B,28.2
2021-07-10 오전 12:11:26,U9_A,29.9
2021-07-10 오전 12:11:26,U9_B,28.1
2021-07-10 오전 12:11:26,U10_A,29.9
2021-07-10 오전 12:11:26,U10_B,27.8
2021-07-10 오전 12:11:26,U11_A,29.0
2021-07-10 오전 12:11:26,U11_B,27.9
2021-07-10 오전 12:13:17,U0_A,29.3
2021-07-10 오전 12:13:17,U0_B,28.9
2021-07-10 오전 12:13:17,U1_A,22.8
2021-07-10 오전 12:13:17,U1_B,22.8
2021-07-10 오전 12:13:17,U2_A,22.8
2021-07-10 오전 12:13:17,U2_B,22.8
2021-07-10 오전 12:13:17,U3_A,26.6
2021-07-10 오전 12:13:17,U3_B,25.8
2021-07-10 오전 12:13:17,U4_A,26.0
2021-07-10 오전 12:13:17,U4_B,25.5
2021-07-10 오전 12:13:17,U5_A,28.1
2021-07-10 오전 12:13:17,U5_B,27.5
2021-07-10 오전 12:13:17,U6_A,31.2
2021-07-10 오전 12:13:17,U6_B,28.2
2021-07-10 오전 12:13:17,U7_A,27.6
2021-07-10 오전 12:13:17,U7_B,26.6
2021-07-10 오전 12:13:17,U8_A,30.1
2021-07-10 오전 12:13:17,U8_B,28.2
2021-07-10 오전 12:13:17,U9_A,29.9
2021-07-10 오전 12:13:17,U9_B,28.1
2021-07-10 오전 12:13:17,U10_A,29.9
2021-07-10 오전 12:13:17,U10_B,27.8
2021-07-10 오전 12:13:17,U11_A,29.0
2021-07-10 오전 12:13:17,U11_B,27.9
2021-07-10 오전 12:15:07,U0_A,29.3
2021-07-10 오전 12:15:07,U0_B,28.9
2021-07-10 오전 12:15:07,U1_A,22.8
2021-07-10 오전 12:15:07,U1_B,22.8
2021-07-10 오전 12:15:07,U2_A,22.8
2021-07-10 오전 12:15:07,U2_B,22.8
2021-07-10 오전 12:15:07,U3_A,26.6
2021-07-10 오전 12:15:07,U3_B,25.8
2021-07-10 오전 12:15:07,U4_A,26.0
2021-07-10 오전 12:15:07,U4_B,25.6
2021-07-10 오전 12:15:07,U5_A,28.0
2021-07-10 오전 12:15:07,U5_B,27.5
2021-07-10 오전 12:15:07,U6_A,31.2
2021-07-10 오전 12:15:07,U6_B,28.2
2021-07-10 오전 12:15:07,U7_A,27.6
2021-07-10 오전 12:15:07,U7_B,26.6
2021-07-10 오전 12:15:07,U8_A,30.1
2021-07-10 오전 12:15:07,U8_B,28.2
2021-07-10 오전 12:15:07,U9_A,29.9
2021-07-10 오전 12:15:07,U9_B,28.1
2021-07-10 오전 12:15:07,U10_A,30.0
2021-07-10 오전 12:15:07,U10_B,27.8
2021-07-10 오전 12:15:07,U11_A,29.0
2021-07-10 오전 12:15:07,U11_B,27.9
2021-07-10 오전 12:16:25,U0_A,29.3
2021-07-10 오전 12:16:25,U0_B,28.9
2021-07-10 오전 12:16:25,U1_A,22.8
2021-07-10 오전 12:16:25,U1_B,22.8
2021-07-10 오전 12:16:25,U2_A,22.8
2021-07-10 오전 12:16:25,U2_B,22.8
2021-07-10 오전 12:16:25,U3_A,26.6
2021-07-10 오전 12:16:25,U3_B,25.8
2021-07-10 오전 12:16:25,U4_A,26.0
2021-07-10 오전 12:16:25,U4_B,25.5
2021-07-10 오전 12:16:25,U5_A,28.1
2021-07-10 오전 12:16:25,U5_B,27.5
2021-07-10 오전 12:16:25,U6_A,31.2
2021-07-10 오전 12:16:25,U6_B,28.3
2021-07-10 오전 12:16:25,U7_A,27.7
2021-07-10 오전 12:16:25,U7_B,26.6
2021-07-10 오전 12:16:25,U8_A,30.1
2021-07-10 오전 12:16:25,U8_B,28.1
2021-07-10 오전 12:16:25,U9_A,29.9
2021-07-10 오전 12:16:25,U9_B,28.1
2021-07-10 오전 12:16:25,U10_A,30.0
2021-07-10 오전 12:16:25,U10_B,27.8
2021-07-10 오전 12:16:25,U11_A,28.9
2021-07-10 오전 12:16:25,U11_B,27.9
2021-07-10 오전 12:18:04,U0_A,29.2
2021-07-10 오전 12:18:04,U0_B,28.9
2021-07-10 오전 12:18:04,U1_A,22.8
2021-07-10 오전 12:18:04,U1_B,22.8
2021-07-10 오전 12:18:04,U2_A,22.8
2021-07-10 오전 12:18:04,U2_B,22.8
2021-07-10 오전 12:18:04,U3_A,26.6
2021-07-10 오전 12:18:04,U3_B,25.8
2021-07-10 오전 12:18:04,U4_A,26.0
2021-07-10 오전 12:18:04,U4_B,25.5
2021-07-10 오전 12:18:04,U5_A,28.1
2021-07-10 오전 12:18:04,U5_B,27.5
2021-07-10 오전 12:18:04,U6_A,31.2
2021-07-10 오전 12:18:04,U6_B,28.2
2021-07-10 오전 12:18:04,U7_A,27.6
2021-07-10 오전 12:18:04,U7_B,26.6
2021-07-10 오전 12:18:04,U8_A,30.1
2021-07-10 오전 12:18:04,U8_B,28.2
2021-07-10 오전 12:18:04,U9_A,29.9
2021-07-10 오전 12:18:04,U9_B,28.1
2021-07-10 오전 12:18:04,U10_A,30.0
2021-07-10 오전 12:18:04,U10_B,27.8
2021-07-10 오전 12:18:04,U11_A,29.0
2021-07-10 오전 12:18:04,U11_B,27.9
2021-07-10 오전 12:20:19,U0_A,29.2
2021-07-10 오전 12:20:19,U0_B,28.9
2021-07-10 오전 12:20:19,U1_A,22.7
2021-07-10 오전 12:20:19,U1_B,22.7
2021-07-10 오전 12:20:19,U2_A,22.7
2021-07-10 오전 12:20:19,U2_B,22.7
2021-07-10 오전 12:20:19,U3_A,26.6
2021-07-10 오전 12:20:19,U3_B,25.8
2021-07-10 오전 12:20:19,U4_A,26.0
2021-07-10 오전 12:20:19,U4_B,25.5
2021-07-10 오전 12:20:19,U5_A,28.1
2021-07-10 오전 12:20:19,U5_B,27.5
2021-07-10 오전 12:20:19,U6_A,31.2
2021-07-10 오전 12:20:19,U6_B,28.2
2021-07-10 오전 12:20:19,U7_A,27.6
2021-07-10 오전 12:20:19,U7_B,26.6
2021-07-10 오전 12:20:19,U8_A,30.1
2021-07-10 오전 12:20:19,U8_B,28.1
2021-07-10 오전 12:20:19,U9_A,29.9
2021-07-10 오전 12:20:19,U9_B,28.1
2021-07-10 오전 12:20:19,U10_A,30.0
2021-07-10 오전 12:20:19,U10_B,27.8
2021-07-10 오전 12:20:19,U11_A,29.0
2021-07-10 오전 12:20:19,U11_B,27.9
2021-07-10 오전 12:22:06,U0_A,29.2
2021-07-10 오전 12:22:06,U0_B,28.9
2021-07-10 오전 12:22:06,U1_A,22.7
2021-07-10 오전 12:22:06,U1_B,22.7
2021-07-10 오전 12:22:06,U2_A,22.7
2021-07-10 오전 12:22:06,U2_B,22.7
2021-07-10 오전 12:22:06,U3_A,26.6
2021-07-10 오전 12:22:06,U3_B,25.8
2021-07-10 오전 12:22:06,U4_A,26.0
2021-07-10 오전 12:22:06,U4_B,25.5
2021-07-10 오전 12:22:06,U5_A,28.1
2021-07-10 오전 12:22:06,U5_B,27.5
2021-07-10 오전 12:22:06,U6_A,31.2
2021-07-10 오전 12:22:06,U6_B,28.2
2021-07-10 오전 12:22:06,U7_A,27.6
2021-07-10 오전 12:22:06,U7_B,26.6
2021-07-10 오전 12:22:06,U8_A,30.1
2021-07-10 오전 12:22:06,U8_B,28.1
2021-07-10 오전 12:22:06,U9_A,29.9
2021-07-10 오전 12:22:06,U9_B,28.1
2021-07-10 오전 12:22:06,U10_A,30.0
2021-07-10 오전 12:22:06,U10_B,27.8
2021-07-10 오전 12:22:06,U11_A,28.9
2021-07-10 오전 12:22:06,U11_B,27.9
2021-07-10 오전 12:23:55,U0_A,29.2
2021-07-10 오전 12:23:55,U0_B,28.9
2021-07-10 오전 12:23:55,U1_A,22.7
2021-07-10 오전 12:23:55,U1_B,22.7
2021-07-10 오전 12:23:55,U2_A,22.7
2021-07-10 오전 12:23:55,U2_B,22.7
2021-07-10 오전 12:23:55,U3_A,26.6
2021-07-10 오전 12:23:55,U3_B,25.8
